model,test_images,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,top3_accuracy,best_val_accuracy,best_val_loss,parameter_count,model_file_size_mb,milliseconds_per_image,images_per_second,training_minutes,best_model_path,metrics_path,training_summary_path,predictions_path
Custom CNN,12630,0.853682,0.834197,0.814388,0.805058,0.856105,0.954236,0.882999,0.436292,661899,7.696725,,,157.975763,D:\SoftwareEngineering\Machine Learning\Traffic_Sign_Project\Results\Custom_CNN\models\best_custom_cnn.keras,D:\SoftwareEngineering\Machine Learning\Traffic_Sign_Project\Results\Custom_CNN\reports\test_metrics.json,D:\SoftwareEngineering\Machine Learning\Traffic_Sign_Project\Results\Custom_CNN\reports\training_summary.json,
EfficientNetV2B0,12630,0.847348,0.779859,0.769184,0.768798,0.847213,0.961124,0.867288,0.464287,6263419,40.469357,1.919424,520.98969,99.742917,D:\SoftwareEngineering\Machine Learning\Traffic_Sign_Project\Results\EfficientNetV2\models\best_efficientnetv2b0.keras,D:\SoftwareEngineering\Machine Learning\Traffic_Sign_Project\Results\EfficientNetV2\reports\test_metrics.json,D:\SoftwareEngineering\Machine Learning\Traffic_Sign_Project\Results\EfficientNetV2\reports\training_summary.json,D:\SoftwareEngineering\Machine Learning\Traffic_Sign_Project\Results\EfficientNetV2\reports\test_predictions.csv
ConvNeXtTiny,12630,0.934917,0.900842,0.88648,0.890261,0.935002,0.98266,0.942777,0.283623,28029579,249.960485,3.526301,283.583274,155.652226,D:\SoftwareEngineering\Machine Learning\Traffic_Sign_Project\Results\ConvNeXtTiny\models\best_convnexttiny.keras,D:\SoftwareEngineering\Machine Learning\Traffic_Sign_Project\Results\ConvNeXtTiny\reports\test_metrics.json,D:\SoftwareEngineering\Machine Learning\Traffic_Sign_Project\Results\ConvNeXtTiny\reports\training_summary.json,D:\SoftwareEngineering\Machine Learning\Traffic_Sign_Project\Results\ConvNeXtTiny\reports\test_predictions.csv
