model,clean_accuracy,clean_macro_f1,clean_top3_accuracy,average_corrupted_accuracy,average_corrupted_macro_f1,average_accuracy_drop,average_macro_f1_drop,worst_case_accuracy,worst_case_macro_f1
ConvNeXtTiny,0.934916864608076,0.89026064875076,0.9826603325415677,0.7763460015835313,0.7276160178012152,0.15857086302454473,0.16264463094954487,0.2209026128266033,0.1652647803146011
Custom CNN,0.8536817102137767,0.8050580967378168,0.9542359461599367,0.616547901821061,0.565496070097901,0.23713380839271572,0.23956202663991571,0.1166270783847981,0.04884394852934883
EfficientNetV2B0,0.847347585114806,0.7687978581886817,0.9611243072050673,0.626741884402217,0.5665423506687589,0.22060570071258906,0.20225550751992283,0.10720506730007917,0.06429792616807885
