model,sample_count,correct_count,mean_confidence,mean_shap_seconds,mean_absolute_attribution,mean_roi_absolute_attribution_ratio,median_roi_absolute_attribution_ratio
ConvNeXtTiny,6,4,0.8883843819300333,4.333420295499991,0.6399855650573348,0.6012816295443971,0.6753088547918666
Custom CNN,6,4,0.8685879111289978,1.9609164411666786,0.645826277473437,0.7868886648544605,0.7907207724333849
EfficientNetV2B0,6,4,0.7558267513910929,4.815722631499985,0.7963901258384188,0.7000204829588742,0.6963655438431602
