model,test_images,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,top3_accuracy,best_val_accuracy,best_val_loss,parameter_count,model_file_size_mb,milliseconds_per_image,images_per_second,training_minutes,best_model_path,metrics_path,training_summary_path,predictions_path
Custom CNN,12630,0.8536817102137767,0.8341974202338868,0.8143875039501935,0.8050580967378168,0.8561048961165791,0.9542359461599367,0.8829991221427917,0.43629181385040283,661899,7.696724891662598,,,157.975762776,D:\SoftwareEngineering\Machine Learning\Traffic_Sign_Project\Results\Custom_CNN\models\best_custom_cnn.keras,D:\SoftwareEngineering\Machine Learning\Traffic_Sign_Project\Results\Custom_CNN\reports\test_metrics.json,D:\SoftwareEngineering\Machine Learning\Traffic_Sign_Project\Results\Custom_CNN\reports\training_summary.json,
EfficientNetV2B0,12630,0.847347585114806,0.7798589686173238,0.7691839176252726,0.7687978581886817,0.8472125559425373,0.9611243072050673,0.8672882914543152,0.46428677439689636,6263419,40.469356536865234,1.9194237785431374,520.9896903324864,99.74291660651667,D:\SoftwareEngineering\Machine Learning\Traffic_Sign_Project\Results\EfficientNetV2\models\best_efficientnetv2b0.keras,D:\SoftwareEngineering\Machine Learning\Traffic_Sign_Project\Results\EfficientNetV2\reports\test_metrics.json,D:\SoftwareEngineering\Machine Learning\Traffic_Sign_Project\Results\EfficientNetV2\reports\training_summary.json,D:\SoftwareEngineering\Machine Learning\Traffic_Sign_Project\Results\EfficientNetV2\reports\test_predictions.csv
ConvNeXtTiny,12630,0.934916864608076,0.9008417700978611,0.8864801164363855,0.89026064875076,0.9350018077119181,0.9826603325415677,0.9427768588066101,0.28362345695495605,28029579,249.96048545837402,3.526301058590566,283.5832741971532,155.65222641451666,D:\SoftwareEngineering\Machine Learning\Traffic_Sign_Project\Results\ConvNeXtTiny\models\best_convnexttiny.keras,D:\SoftwareEngineering\Machine Learning\Traffic_Sign_Project\Results\ConvNeXtTiny\reports\test_metrics.json,D:\SoftwareEngineering\Machine Learning\Traffic_Sign_Project\Results\ConvNeXtTiny\reports\training_summary.json,D:\SoftwareEngineering\Machine Learning\Traffic_Sign_Project\Results\ConvNeXtTiny\reports\test_predictions.csv
